Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
overweight,omnivore,male,high,rarely,electricity,public,hybrid,large,frequently,1,7,316,5.47,712,1.93
overweight,vegetarian,male,moderate,rarely,gas,private,petrol,extra large,frequently,7,7,127,11.64,2274,4.49
underweight,omnivore,female,moderate,daily,wood,walk,petrol,large,rarely,6,1,251,3.66,3293,6.84
overweight,vegan,other,low,twice a day,electricity,hybrid,diesel,large,frequently,1,5,277,10.94,4170,6.23
underweight,vegetarian,other,moderate,twice a day,solar,public,hybrid,small,frequently,0,7,472,3.29,4614,9.77
average,vegetarian,male,high,frequently,solar,public,hybrid,medium,frequently,3,2,73,8.83,4032,4.95
underweight,pescetarian,male,moderate,twice a day,electricity,walk,electric,small,never,5,7,594,11.98,2443,4.14
average,vegetarian,female,low,twice a day,wood,hybrid,electric,large,frequently,1,4,455,10,767,7.84
average,vegetarian,male,low,frequently,wood,private,electric,medium,rarely,6,4,453,5.7,4248,9.61
athletic,pescetarian,female,moderate,twice a day,solar,private,hybrid,medium,rarely,9,2,60,1.5,1990,9.03
underweight,pescetarian,male,low,daily,solar,bike,petrol,small,frequently,8,5,164,11.6,1619,4.71
athletic,vegan,male,low,twice a day,gas,hybrid,hybrid,small,rarely,1,1,114,8.65,2469,6.68
underweight,vegetarian,male,high,daily,wood,hybrid,petrol,extra large,never,14,1,411,10.06,1971,2.29
underweight,vegan,other,low,daily,electricity,public,electric,medium,rarely,14,4,255,6.87,481,7.43
athletic,vegan,female,low,daily,solar,bike,electric,large,rarely,15,7,482,5.74,1364,4.15
athletic,pescetarian,female,moderate,twice a day,solar,private,petrol,extra large,frequently,1,6,115,0.94,4433,3
underweight,omnivore,other,high,twice a day,solar,hybrid,petrol,extra large,never,16,7,479,0.74,1476,2.22
overweight,vegan,other,low,rarely,solar,hybrid,electric,extra large,never,10,1,128,6.99,1245,3.32
average,omnivore,other,moderate,frequently,wood,walk,petrol,extra large,rarely,17,7,484,2.27,2242,5.59
athletic,vegetarian,female,moderate,frequently,solar,private,hybrid,small,rarely,0,2,454,8.1,4111,9.06
average,pescetarian,male,moderate,rarely,wood,walk,electric,medium,frequently,11,4,215,11.49,193,3.35
overweight,vegetarian,other,moderate,daily,gas,bike,hybrid,extra large,frequently,5,3,549,4.27,2416,1.5
overweight,vegetarian,other,moderate,frequently,gas,hybrid,electric,medium,never,17,7,,8.84,1865,8.02
overweight,pescetarian,other,moderate,rarely,electricity,bike,diesel,large,frequently,16,2,466,10.94,3073,8.03
athletic,vegetarian,male,low,daily,solar,walk,hybrid,medium,never,16,2,584,10.12,1783,1.6
overweight,pescetarian,male,high,rarely,electricity,private,diesel,small,never,1,1,121,1.01,1197,2.64
athletic,omnivore,other,high,twice a day,wood,hybrid,electric,medium,rarely,17,6,261,8.13,,2.44
overweight,vegetarian,male,moderate,twice a day,electricity,private,hybrid,large,never,14,1,215,3.63,3262,5.15
average,pescetarian,other,moderate,daily,electricity,bike,hybrid,large,never,0,7,480,10.83,1441,3.24
average,vegan,male,high,daily,solar,public,hybrid,extra large,never,19,1,373,2.05,3607,7.73
underweight,vegetarian,female,low,twice a day,wood,private,petrol,large,never,13,3,263,2.67,4624,6.56
average,omnivore,female,moderate,frequently,wood,private,hybrid,extra large,rarely,12,2,586,5.9,3331,7.1
underweight,pescetarian,male,high,frequently,solar,private,hybrid,small,frequently,11,5,417,3.97,3828,4.4
average,vegetarian,female,high,twice a day,wood,hybrid,diesel,small,frequently,7,4,234,4.31,923,5.49
athletic,vegetarian,female,moderate,frequently,gas,bike,hybrid,small,never,6,1,229,5.09,1284,7.11
average,vegetarian,female,high,twice a day,solar,bike,petrol,medium,frequently,7,1,132,1.73,3003,5.75
underweight,omnivore,other,low,rarely,solar,hybrid,hybrid,large,frequently,17,,491,1.15,1690,1.68
underweight,pescetarian,male,high,rarely,solar,private,diesel,large,never,14,3,200,2.32,479,4.26
overweight,vegan,male,moderate,rarely,gas,private,hybrid,large,never,6,1,167,6.41,4787,9.74
athletic,vegan,male,moderate,frequently,wood,public,hybrid,extra large,frequently,0,3,121,4.82,1562,5.51
average,vegan,female,high,rarely,gas,private,diesel,extra large,rarely,5,3,382,7.97,643,4.69
overweight,pescetarian,other,high,daily,gas,walk,electric,small,frequently,15,7,528,8.32,2383,9
average,vegan,male,moderate,daily,gas,private,hybrid,large,never,13,5,446,7.57,4528,6.97
average,omnivore,female,low,rarely,electricity,public,electric,medium,frequently,7,3,225,2.73,4662,4.84
overweight,pescetarian,other,high,daily,wood,walk,diesel,medium,frequently,9,5,64,7.47,4490,6.35
overweight,vegetarian,other,low,rarely,wood,public,diesel,small,rarely,16,4,194,6.76,4204,4.03
overweight,omnivore,male,low,rarely,solar,public,electric,extra large,frequently,14,3,535,7.65,1129,8.23
overweight,vegetarian,male,moderate,twice a day,solar,bike,petrol,extra large,frequently,13,4,310,2.99,1693,7.45
overweight,vegan,female,moderate,rarely,electricity,hybrid,petrol,extra large,never,19,3,437,11.86,567,2.96
average,omnivore,male,moderate,daily,gas,public,diesel,small,rarely,10,5,590,11.85,4301,3.77
overweight,pescetarian,female,low,frequently,solar,private,petrol,small,frequently,5,5,194,10.55,3599,1.03
athletic,omnivore,other,moderate,rarely,wood,bike,petrol,large,frequently,3,4,390,2.86,1051,8.12
underweight,vegetarian,other,moderate,twice a day,solar,walk,diesel,large,never,4,2,136,9.03,4396,1.81
overweight,pescetarian,other,low,daily,gas,hybrid,hybrid,large,never,10,2,353,1.51,4958,6.15
overweight,omnivore,other,low,twice a day,electricity,bike,hybrid,medium,rarely,11,2,252,,376,8.62
average,omnivore,male,low,rarely,gas,public,hybrid,medium,rarely,10,3,306,2.69,3832,9.7
overweight,omnivore,male,low,rarely,solar,bike,petrol,large,rarely,17,2,282,5.29,4685,3.87
overweight,omnivore,female,high,rarely,electricity,private,electric,medium,never,6,4,423,7.72,3197,2.65
overweight,pescetarian,female,moderate,rarely,electricity,private,petrol,medium,never,0,2,147,4.4,1507,9.88
average,vegetarian,female,high,daily,gas,private,hybrid,extra large,never,15,4,133,2.86,3816,
overweight,omnivore,female,low,frequently,solar,hybrid,diesel,extra large,never,17,4,215,9.51,1533,2.35
underweight,pescetarian,female,low,rarely,gas,bike,diesel,small,rarely,11,6,207,9.75,2101,9.32
average,vegetarian,other,low,twice a day,solar,bike,diesel,extra large,rarely,10,3,548,5.73,4826,9.43
underweight,omnivore,other,low,daily,solar,public,petrol,large,rarely,7,6,146,3.59,3080,5.31
average,vegetarian,other,low,daily,wood,walk,electric,extra large,never,0,5,359,8.51,664,6.76
overweight,vegetarian,female,moderate,daily,electricity,private,hybrid,medium,never,15,3,321,10.8,2328,4.76
underweight,pescetarian,other,high,twice a day,solar,walk,diesel,medium,never,1,3,332,9.65,2692,9.34
average,vegetarian,other,high,frequently,gas,walk,hybrid,large,never,5,1,448,6.74,4069,8.52
athletic,pescetarian,other,moderate,twice a day,gas,private,hybrid,large,frequently,16,2,95,0.72,831,5.63
overweight,omnivore,other,moderate,twice a day,wood,private,petrol,extra large,rarely,16,2,434,11.03,1809,5.02
average,vegetarian,male,moderate,twice a day,wood,public,diesel,extra large,rarely,1,4,551,10.9,4007,7.18
athletic,vegetarian,female,high,rarely,wood,hybrid,petrol,extra large,frequently,18,5,448,3.07,2190,6.98
average,vegan,female,high,rarely,electricity,private,hybrid,small,rarely,8,6,362,8.24,1271,1.73
athletic,omnivore,male,low,twice a day,wood,walk,hybrid,small,never,2,2,375,4.48,249,3.51
overweight,omnivore,other,high,twice a day,electricity,public,hybrid,large,rarely,9,2,565,2.64,2396,4.95
underweight,vegan,other,high,rarely,wood,bike,diesel,extra large,never,4,7,59,0.13,1304,6.05
athletic,vegan,other,moderate,rarely,electricity,public,diesel,medium,never,,5,362,4.38,466,2.72
average,pescetarian,female,high,frequently,solar,private,diesel,small,never,13,2,360,2.53,2566,3.88
overweight,pescetarian,female,low,twice a day,wood,private,hybrid,large,frequently,10,1,369,0.28,3472,5.54
athletic,vegetarian,female,high,daily,electricity,hybrid,hybrid,small,rarely,18,7,469,6.32,2408,9.11
average,vegetarian,female,moderate,frequently,solar,public,electric,extra large,never,15,2,140,2.79,2290,4.49
average,vegetarian,female,moderate,daily,wood,private,diesel,medium,rarely,13,1,62,7.07,3936,3.65
average,vegetarian,male,low,frequently,solar,walk,hybrid,medium,frequently,13,3,124,5.02,3515,8.68
athletic,pescetarian,female,low,twice a day,wood,walk,hybrid,large,rarely,3,3,422,4.1,2093,3.09
athletic,omnivore,other,high,daily,gas,public,electric,small,rarely,7,1,378,4.51,3415,6.44
athletic,vegetarian,female,low,rarely,electricity,hybrid,electric,extra large,rarely,6,6,59,6.89,4291,4.72
underweight,omnivore,male,low,frequently,gas,public,hybrid,extra large,rarely,2,6,499,10.01,3635,9.16
athletic,vegetarian,other,moderate,daily,electricity,hybrid,diesel,medium,frequently,13,4,404,8.03,1204,7.18
athletic,vegan,male,moderate,frequently,gas,walk,petrol,medium,rarely,10,1,483,1.33,1195,8.99
athletic,vegetarian,other,high,twice a day,wood,private,petrol,extra large,never,18,7,380,6.8,402,6.94
underweight,vegetarian,female,high,daily,gas,bike,petrol,extra large,frequently,3,4,566,9.23,3773,6.06
athletic,vegetarian,male,high,daily,wood,private,diesel,small,rarely,3,5,460,3.73,4463,4.75
average,pescetarian,other,high,daily,electricity,walk,hybrid,large,rarely,7,5,56,7.54,1674,6.51
athletic,vegan,female,moderate,frequently,wood,walk,petrol,small,never,14,7,291,0.01,3294,8.08
average,vegetarian,other,high,rarely,gas,private,petrol,small,frequently,15,1,150,11.28,596,4.88
average,vegetarian,male,high,rarely,solar,private,diesel,extra large,frequently,3,7,549,3.21,149,6.75
average,omnivore,male,low,rarely,electricity,walk,hybrid,small,never,9,4,279,10.87,2694,4.99
underweight,vegan,male,high,twice a day,solar,private,hybrid,small,rarely,4,3,337,2.6,905,1.87
underweight,vegetarian,male,low,daily,solar,bike,diesel,small,rarely,3,1,323,10.75,2928,6.05
underweight,omnivore,female,moderate,rarely,solar,bike,petrol,medium,frequently,1,1,118,6.66,498,1.59
athletic,omnivore,other,high,rarely,solar,public,hybrid,large,frequently,17,4,373,2.19,2486,6.37
average,pescetarian,female,low,daily,solar,bike,hybrid,large,rarely,7,5,136,3.83,2441,8.55
underweight,omnivore,male,high,twice a day,gas,walk,petrol,medium,never,14,6,126,9.96,4803,2.4
underweight,vegetarian,other,low,frequently,wood,walk,diesel,extra large,never,3,7,122,11.43,3248,6.37
athletic,pescetarian,male,high,frequently,wood,public,petrol,extra large,rarely,12,3,117,10.52,3261,1.53
underweight,pescetarian,female,moderate,frequently,solar,hybrid,electric,large,never,13,4,267,10.46,4289,3.44
athletic,vegetarian,female,moderate,daily,gas,public,hybrid,large,frequently,8,7,295,0.05,359,2.13
overweight,vegan,female,low,twice a day,solar,hybrid,diesel,extra large,rarely,5,4,144,5.38,4281,1.22
underweight,omnivore,other,low,daily,solar,hybrid,petrol,small,never,11,7,523,10.04,803,8.61
overweight,pescetarian,other,moderate,frequently,electricity,private,petrol,large,never,12,3,51,0.42,3815,4.69
athletic,vegan,male,high,rarely,gas,bike,diesel,small,frequently,5,6,543,8.33,2783,2.36
average,vegetarian,other,low,rarely,solar,hybrid,hybrid,large,frequently,19,7,598,6.01,3554,6.72
underweight,omnivore,other,moderate,rarely,wood,private,diesel,medium,rarely,18,6,115,9.48,4906,9.11
athletic,omnivore,female,low,frequently,electricity,public,electric,large,frequently,19,1,141,3.13,3883,5.51
average,pescetarian,male,moderate,twice a day,solar,public,diesel,medium,frequently,19,1,233,10.59,4076,8.46
average,omnivore,female,moderate,frequently,solar,hybrid,electric,small,rarely,7,2,248,3.56,3192,8.58
overweight,omnivore,male,low,daily,solar,private,hybrid,extra large,never,4,7,421,11.41,3896,7.75
athletic,omnivore,male,low,twice a day,gas,walk,petrol,small,frequently,7,7,135,7.69,795,3.48
average,omnivore,other,moderate,rarely,solar,bike,electric,small,rarely,12,7,361,2.36,3267,5.21
underweight,vegetarian,female,high,twice a day,wood,hybrid,electric,small,frequently,12,3,425,9.31,185,2.31
underweight,vegan,other,moderate,twice a day,electricity,walk,diesel,medium,frequently,4,7,469,6.42,3278,9.28
overweight,vegetarian,other,high,frequently,gas,bike,diesel,large,never,13,4,403,4.89,4641,6.93
average,vegetarian,other,high,twice a day,electricity,walk,petrol,extra large,frequently,17,2,309,5.67,684,1.05
athletic,pescetarian,male,high,frequently,wood,private,hybrid,small,frequently,14,2,148,4.79,3658,8.2
underweight,omnivore,female,low,daily,solar,hybrid,electric,small,frequently,0,2,208,8.49,4126,1.13
average,vegetarian,female,moderate,twice a day,gas,walk,petrol,small,never,6,1,466,3.11,4914,6.51
average,omnivore,other,moderate,twice a day,solar,walk,electric,medium,frequently,9,5,438,6.14,2099,4.96
overweight,vegetarian,male,high,twice a day,gas,walk,petrol,medium,rarely,1,2,476,9.07,1423,2.88
underweight,vegetarian,female,high,rarely,solar,hybrid,diesel,medium,rarely,12,4,284,1.72,4076,7.79
underweight,pescetarian,female,high,frequently,wood,private,diesel,large,never,2,6,444,3.5,2099,9.99
athletic,vegan,other,moderate,frequently,wood,private,hybrid,large,never,7,1,81,2.56,2287,7.33
underweight,vegan,male,high,rarely,solar,walk,diesel,small,never,11,6,416,6.86,2263,8.27
athletic,vegetarian,other,moderate,frequently,wood,private,petrol,extra large,frequently,3,5,434,4.94,3838,9.22
underweight,pescetarian,female,moderate,daily,solar,bike,electric,medium,never,7,5,92,3.89,4509,4.97
overweight,omnivore,male,low,rarely,gas,private,petrol,large,rarely,0,2,258,4.29,3760,6.75
underweight,omnivore,other,high,frequently,wood,walk,hybrid,large,rarely,2,2,332,5.63,982,5.79
athletic,vegetarian,female,high,daily,gas,bike,diesel,extra large,frequently,14,1,125,5.02,3536,3.85
athletic,vegan,other,high,frequently,solar,hybrid,diesel,medium,frequently,14,2,62,8.48,923,1.58
overweight,pescetarian,other,low,rarely,gas,public,electric,large,frequently,11,7,400,8.31,1786,8.72
underweight,vegan,other,high,frequently,electricity,private,hybrid,extra large,frequently,0,1,596,0.32,3419,1.92
underweight,omnivore,male,moderate,daily,solar,bike,hybrid,extra large,rarely,10,5,586,8.52,1109,6.06
overweight,vegan,female,high,daily,wood,public,diesel,medium,rarely,18,7,161,2.66,4888,1.28
underweight,omnivore,female,moderate,daily,wood,hybrid,hybrid,medium,never,4,4,360,5.04,4592,5.82
underweight,pescetarian,female,moderate,frequently,electricity,public,petrol,medium,frequently,16,4,85,2.67,3340,1.51
athletic,pescetarian,female,moderate,rarely,solar,hybrid,hybrid,small,rarely,1,7,204,1.43,2754,7.37
underweight,vegetarian,male,moderate,frequently,solar,walk,petrol,large,rarely,12,3,445,7.01,4155,6.34
underweight,vegetarian,other,high,twice a day,solar,walk,petrol,extra large,never,2,6,251,11.41,1524,7.47
overweight,vegan,female,low,rarely,solar,hybrid,petrol,small,rarely,12,3,587,4.46,2765,6.09
overweight,pescetarian,male,low,twice a day,gas,public,diesel,medium,rarely,7,3,222,8.14,3122,7.71
average,pescetarian,other,moderate,frequently,solar,private,petrol,large,frequently,12,4,569,5.44,1291,4.3
athletic,vegetarian,male,high,rarely,gas,public,electric,large,never,2,2,471,2.18,3925,3.95
underweight,omnivore,male,low,twice a day,gas,public,hybrid,small,frequently,8,7,288,11.05,3665,5.45
underweight,vegan,female,high,frequently,wood,private,petrol,extra large,frequently,1,1,254,5.4,3699,5.54
average,vegan,female,low,rarely,solar,public,electric,small,never,7,4,448,0.1,3434,4.05
underweight,vegetarian,other,moderate,daily,gas,public,diesel,large,never,0,3,558,5.48,1329,5.46
athletic,pescetarian,other,moderate,daily,solar,bike,diesel,extra large,frequently,14,3,123,0.07,582,2.91
average,vegetarian,female,moderate,daily,electricity,hybrid,diesel,small,frequently,7,6,534,9.53,1978,6.86
athletic,vegetarian,male,low,twice a day,gas,walk,diesel,small,frequently,7,2,202,4.41,3620,9.75
average,vegetarian,female,high,twice a day,wood,hybrid,hybrid,medium,frequently,6,3,384,7.38,4398,6.44
average,vegetarian,other,moderate,frequently,solar,public,diesel,large,never,19,3,86,9.2,2188,5.27
overweight,omnivore,male,high,daily,wood,private,hybrid,medium,rarely,12,1,556,0.33,988,9.14
athletic,omnivore,male,high,twice a day,gas,private,electric,medium,never,6,2,530,6.22,649,6.93
underweight,pescetarian,male,moderate,daily,gas,walk,diesel,extra large,rarely,6,5,529,7.66,1103,3.67
underweight,vegetarian,female,low,frequently,wood,walk,diesel,extra large,never,10,5,497,5.65,1584,6.59
athletic,omnivore,female,moderate,rarely,solar,walk,electric,large,frequently,1,3,593,3.68,1620,7.71
underweight,pescetarian,other,moderate,twice a day,gas,private,electric,extra large,rarely,10,3,449,5.56,4163,7.94
underweight,vegetarian,male,low,twice a day,electricity,public,hybrid,large,never,18,7,414,4.72,3108,1.07
athletic,vegan,male,high,rarely,wood,walk,petrol,extra large,never,0,1,349,7.34,1465,7.89
average,omnivore,female,low,twice a day,gas,walk,hybrid,medium,never,16,5,264,5.63,148,8.19
athletic,pescetarian,other,low,frequently,solar,private,petrol,large,frequently,0,2,395,1.56,1219,2.58
average,vegan,other,moderate,twice a day,gas,public,hybrid,medium,never,12,2,171,1.01,4557,8.66
underweight,vegetarian,male,low,twice a day,solar,walk,petrol,extra large,never,5,4,376,1.96,1482,7.41
underweight,vegetarian,female,low,rarely,solar,public,diesel,medium,frequently,4,6,291,0.79,2835,6.58
underweight,vegetarian,male,low,frequently,gas,bike,petrol,extra large,rarely,1,4,326,3.04,3274,7.92
overweight,omnivore,female,high,daily,electricity,walk,electric,small,rarely,9,2,169,0.84,2032,3.28
average,pescetarian,other,high,daily,solar,walk,electric,medium,frequently,18,4,88,7.24,786,2.39
overweight,vegan,male,moderate,rarely,wood,private,petrol,large,rarely,6,,394,5.34,2680,1.62
overweight,pescetarian,male,moderate,frequently,solar,bike,diesel,medium,never,14,6,423,3.07,4844,4.89
athletic,omnivore,male,high,rarely,solar,bike,diesel,medium,never,10,1,528,0.15,4540,5.56
overweight,pescetarian,other,low,rarely,electricity,bike,petrol,large,rarely,5,3,243,1.75,1453,1.93
athletic,omnivore,male,moderate,daily,solar,hybrid,petrol,large,rarely,4,2,157,8,4141,4.59
athletic,vegetarian,other,moderate,frequently,gas,private,electric,small,rarely,3,5,434,2.99,3778,3.35
overweight,vegan,female,low,frequently,electricity,private,electric,extra large,frequently,5,5,160,4,3580,8.96
average,vegetarian,other,low,rarely,solar,walk,hybrid,extra large,rarely,6,7,355,0.92,3500,6.15
average,pescetarian,female,low,daily,gas,private,diesel,large,frequently,11,2,392,6.58,2134,2.57
average,vegetarian,other,low,frequently,gas,walk,diesel,medium,rarely,13,4,352,9.65,2431,5.37
average,vegan,other,low,rarely,solar,walk,diesel,extra large,frequently,1,4,66,4.24,4055,1.37
average,vegetarian,male,high,twice a day,wood,hybrid,hybrid,large,frequently,19,7,569,1.38,4048,5.04
overweight,vegan,other,low,daily,wood,private,hybrid,large,never,2,7,232,11.45,4456,9.11
overweight,vegan,male,moderate,frequently,solar,private,electric,small,rarely,4,7,312,6.14,3401,5.68
underweight,vegetarian,female,high,frequently,solar,hybrid,electric,medium,never,9,2,114,1.07,3209,2.95
average,omnivore,female,moderate,frequently,gas,hybrid,petrol,small,never,6,2,330,5.97,557,9.25
overweight,pescetarian,male,low,daily,solar,private,hybrid,small,frequently,8,2,548,0.54,915,9.46
underweight,omnivore,female,moderate,rarely,solar,private,hybrid,medium,frequently,17,1,585,0.66,1591,3.48
average,omnivore,other,low,twice a day,gas,walk,hybrid,large,frequently,5,5,146,3.82,2339,2.56
athletic,vegetarian,male,moderate,frequently,solar,public,diesel,medium,frequently,9,1,508,8.13,962,1.82
underweight,pescetarian,male,moderate,daily,solar,walk,electric,small,never,11,6,398,8.46,3677,7.95
overweight,pescetarian,male,low,frequently,solar,bike,petrol,small,frequently,1,7,352,10.82,2750,7.43
athletic,omnivore,female,moderate,rarely,gas,bike,hybrid,medium,never,0,7,222,1.3,747,7.91
athletic,vegetarian,female,high,twice a day,solar,public,hybrid,small,never,3,1,462,5.57,1521,2.46
athletic,pescetarian,other,moderate,frequently,wood,hybrid,hybrid,large,rarely,14,3,80,5.72,363,9.77
underweight,omnivore,other,high,daily,solar,bike,diesel,large,rarely,1,1,532,5.53,358,2.73
overweight,pescetarian,male,high,rarely,wood,hybrid,petrol,medium,frequently,2,7,184,10.1,4855,1.34
athletic,vegetarian,other,moderate,twice a day,solar,hybrid,petrol,medium,never,16,6,208,9.74,1570,4.54
average,vegetarian,female,high,daily,gas,walk,hybrid,large,never,1,5,291,6.09,2608,5.99
athletic,vegetarian,other,high,frequently,wood,hybrid,petrol,extra large,never,12,4,237,9.34,150,4.75
athletic,pescetarian,female,moderate,daily,solar,public,diesel,extra large,rarely,7,5,233,0.71,2742,5.37
underweight,vegan,other,low,twice a day,solar,walk,hybrid,extra large,never,19,7,366,6.39,1123,6.05
underweight,pescetarian,female,low,rarely,solar,public,electric,medium,never,18,2,238,1.14,1594,2.9
overweight,vegan,female,high,rarely,solar,hybrid,electric,large,never,9,6,404,10.4,884,8.58
average,vegetarian,other,high,frequently,gas,bike,petrol,large,rarely,6,2,497,6.04,4583,3.4
underweight,omnivore,other,low,frequently,electricity,hybrid,electric,large,frequently,3,2,315,0.21,4054,9.98
athletic,vegan,female,high,frequently,wood,public,electric,large,frequently,17,1,459,6.6,1152,9.77
overweight,vegetarian,male,low,frequently,solar,private,hybrid,medium,frequently,2,6,118,8.85,904,3.81
athletic,vegetarian,other,moderate,twice a day,gas,private,diesel,large,rarely,14,3,378,1.62,2669,5.76
athletic,vegan,female,high,frequently,electricity,bike,hybrid,large,rarely,19,4,146,3.39,2887,9.35
underweight,omnivore,other,moderate,daily,gas,public,diesel,small,frequently,16,1,303,5.38,567,6.01
overweight,vegetarian,other,low,twice a day,solar,bike,hybrid,small,frequently,7,7,563,4.98,2531,8.04
average,vegan,other,low,twice a day,electricity,walk,electric,small,rarely,14,2,347,6.03,3175,5.2
average,omnivore,other,moderate,frequently,wood,hybrid,hybrid,small,frequently,12,5,245,0.2,797,5.23
underweight,omnivore,other,high,twice a day,wood,walk,petrol,medium,never,13,7,592,8.86,4834,4.34
underweight,vegetarian,male,moderate,daily,gas,private,petrol,extra large,rarely,3,2,518,3.78,2964,5.37
